招生信息,,,,,,,,,2024年,,,2023年,,,2022年,,,2021年,,,2020年,,
批次,院校代码,院校名称,专业代码,专业名称,计划人数,学费,学制,选科要求,专业名称2024,投档计划数2024,最低位次2024,专业名称2023,投档计划数2023,最低位次2023,专业名称2022,投档计划数2022,最低位次2022,投档计划数2021,最低位次2021,专业名称2021,投档计划数2020,最低位次2020,专业名称2020
本科提前批,P002,国防科技大学,0,外交学(军事外交)(男，军事(指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,思想政治,,,,,,,,,,,,,,,
本科提前批,P002,国防科技大学,1,国际事务与国际关系(男，军事(指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,思想政治,,,,计算机类,12,2310,计算机类,12,2312,,,,,,
本科提前批,P002,国防科技大学,3,俄语(军事翻译)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,不限,,,,航空航天类,9,3758,航空航天类,9,4334,,,,,,
本科提前批,P002,国防科技大学,4,德语(军事翻译)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,不限,,,,自动化类,13,3629,自动化类,13,4131,,,,,,
本科提前批,P002,国防科技大学,5,日语(军事翻译)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,不限,,,,大气科学类,10,6301,大气科学类,10,6189,,,,,,
本科提前批,P002,国防科技大学,8,柬埔寨语(军事翻译)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,不限,,,,计算机科学与技术(天河拔尖班),4,1157,计算机科学与技术(天河拔尖班),4,1216,,,,,,
本科提前批,P002,国防科技大学,47,网络空间安全(网络信息防御)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),2,,4,物理和化学,,,,,,,,,,,,,16,3054,计算机类
本科提前批,P002,国防科技大学,48,导航工程(无人机技术与保障)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),2,,4,物理和化学,,,,,,,,,,,,,14,3939,电子信息类
本科提前批,P002,国防科技大学,49,航空航天类(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语，飞行器设计与工程(航天测控技术与指挥)，飞行器设计与工程(无人机技术与保障)，飞行器动力工程(航天测发技术与指挥)，飞行器动力工程(相关专业技术与指挥管理)等专业方向),10,,4,物理和化学,,,,,,,,,,,,,12,4618,航空航天类
本科提前批,P002,国防科技大学,50,武器系统与工程(试验评估技术)(男，军事(指技融合)类，通用标准合格，特殊类型招生控制线，英语),3,,4,物理和化学,,,,,,,,,,,,,13,4523,自动化类
本科提前批,P002,国防科技大学,51,信息对抗技术(电子对抗技术与指挥)(男，军事(指技融合)类，电子对抗岗位合格，特殊类型招生控制线，英语),9,,4,物理和化学,,,,,,,,,,,,,10,5686,大气科学类
本科提前批,P002,国防科技大学,2,英语(军事翻译)(女，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,不限,,,,电子信息类,14,2928,电子信息类,14,3351,,,,,,
本科提前批,P002,国防科技大学,9,马来语(军事翻译)(女，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,不限,,,,理论与应用力学(航天力学拔尖班),3,2437,理论与应用力学(航天力学拔尖班),3,2889,,,,,,
本科提前批,P004,陆军工程大学,35,伪装与防护工程(伪装工程与指挥)(男，军事(指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,物理,,,,,,,,,,1,29387,建筑环境与能源应用工程(全国人防通风空调与给排水工程师),1,24292,建筑环境与能源应用工程(全国人防通风空调与给排水工程师)
本科提前批,P004,陆军工程大学,36,装备保障工程(装备技术保障与分队指挥)(男，军事(非指挥)类，通用标准合格，特殊类型招生控制线，英语),1,,4,物理,,,,,,,,,,1,25810,土木工程(全国人防工程建筑结构设计与施工工程师),1,20863,土木工程(全国人防工程建筑结构设计与施工工程师)
本科提前批,P020,海军军医大学,2,临床医学(临床医疗通科医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),23,,5,物理和化学,,,,临床医学(临床医师),13,8643,临床医学(临床医师),13,8727,,,,6,4614,临床医学(高级临床医师)
本科提前批,P020,海军军医大学,4,麻醉学(临床麻醉医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,5,物理和化学,,,,医学影像学(临床影像医师),1,7010,医学影像学(临床影像医师),1,8937,,,,2,11718,麻醉学(麻醉师)
本科提前批,P020,海军军医大学,6,医学影像学(临床影像医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,5,物理和化学,,,,药学(药剂师),2,17663,药学(药剂师),2,18744,,,,1,11955,中医学(中医临床医师)
本科提前批,P020,海军军医大学,7,精神医学(临床心理医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,5,物理和化学,,,,中药学(药剂师),1,22357,中药学(药剂师),1,22198,,,,2,15525,药学(药剂师)
本科提前批,P020,海军军医大学,8,预防医学(公共卫生医师)(男，军事(非指挥)类，医疗岗位合格，特殊类型招生控制线，英语),2,,5,物理和化学,,,,生物技术,1,15559,生物技术,1,13956,,,,1,17155,中药学(药剂师)
本科提前批,P020,海军军医大学,11,公共事业管理(公共事业管理)(男，军事(指挥)类，医疗岗位合格，特殊类型招生控制线，英语),1,,4,物理,,,,,,,,,,1,14246,生物技术,,,
