专业大类编号,大类名称,专业小类编号,小类名称,专业编号,专业名称,专业原编号,专业原名称,专业变更操作
21,农林牧渔大类,2101,农业类,210101,现代种业技术,,,新增
21,农林牧渔大类,2101,农业类,210102,作物生产与品质改良,,,新增
21,农林牧渔大类,2101,农业类,210103,智慧农业技术,,,新增
21,农林牧渔大类,2101,农业类,210104,设施园艺,,,新增
21,农林牧渔大类,2101,农业类,210105,现代农业经营与管理,,,新增
21,农林牧渔大类,2102,林业类,210201,智慧林业技术,,,新增
21,农林牧渔大类,2102,林业类,210202,园林工程,,,新增
21,农林牧渔大类,2102,林业类,210203,木业产品智能制造,,,新增
21,农林牧渔大类,2103,畜牧业类,210301,动物医学,,,新增
21,农林牧渔大类,2103,畜牧业类,210302,动物药学,,,新增
21,农林牧渔大类,2103,畜牧业类,210303,宠物医疗,,,新增
21,农林牧渔大类,2103,畜牧业类,210304,现代畜牧,,,新增
21,农林牧渔大类,2104,渔业类,210401,现代水产养殖技术,,,新增
22,资源环境与安全大类,2201,资源勘查类,220101,资源勘查工程技术,,,新增
22,资源环境与安全大类,2202,地质类,220201,环境地质工程,,,新增
22,资源环境与安全大类,2203,测绘地理信息类,220301,导航工程技术,720301,导航工程,更名
22,资源环境与安全大类,2203,测绘地理信息类,220302,测绘工程技术,,,新增
22,资源环境与安全大类,2203,测绘地理信息类,220303,地理信息技术,,,新增
22,资源环境与安全大类,2204,石油与天然气类,220401,油气储运工程,720401,油气储运工程,保留
22,资源环境与安全大类,2204,石油与天然气类,220402,石油工程技术,,,新增
22,资源环境与安全大类,2205,煤炭类,220501,智能采矿技术,720501,采矿工程,更名
22,资源环境与安全大类,2205,煤炭类,220502,煤炭清洁利用工程,,,新增
22,资源环境与安全大类,2207,气象类,220701,智慧气象技术,,,新增
22,资源环境与安全大类,2208,环境保护类,220801,生态环境工程技术,,,新增
22,资源环境与安全大类,2209,安全类,220901,安全工程技术,,,新增
22,资源环境与安全大类,2209,安全类,220902,应急管理,,,新增
23,能源动力与材料大类,2301,电力技术类,230101,电力工程及自动化,,,新增
23,能源动力与材料大类,2301,电力技术类,230102,智能电网工程技术,,,新增
23,能源动力与材料大类,2302,热能与发电工程类,230201,热能动力工程,,,新增
23,能源动力与材料大类,2303,新能源发电工程类,230301,新能源发电工程技术,730301,新能源工程,更名
23,能源动力与材料大类,2304,黑色金属材料类,230401,钢铁智能冶金技术,,,新增
23,能源动力与材料大类,2305,有色金属材料类,230501,材料化冶金应用技术,,,新增
23,能源动力与材料大类,2305,有色金属材料类,230502,金属智能成型技术,,,新增
23,能源动力与材料大类,2305,有色金属材料类,230503,储能材料工程技术,,,新增
23,能源动力与材料大类,2306,非金属材料类,230601,高分子材料工程技术,,,新增
23,能源动力与材料大类,2306,非金属材料类,230602,新材料与应用技术,,,新增
23,能源动力与材料大类,2307,建筑材料类,230701,建筑材料智能制造,,,新增
24,土木建筑大类,2401,建筑设计类,240101,建筑设计,740301,建筑设计,保留
24,土木建筑大类,2401,建筑设计类,240102,建筑装饰工程,,,新增
24,土木建筑大类,2401,建筑设计类,240103,古建筑工程,,,新增
24,土木建筑大类,2401,建筑设计类,240104,园林景观工程,740302,风景园林,更名
24,土木建筑大类,2401,建筑设计类,240105,城市设计数字技术,,,新增
24,土木建筑大类,2402,城乡规划与管理类,240201,城乡规划,,,新增
24,土木建筑大类,2403,土建施工类,240301,建筑工程,740101,土木工程,更名
24,土木建筑大类,2403,土建施工类,240302,智能建造工程,,,新增
24,土木建筑大类,2403,土建施工类,240303,城市地下工程,,,新增
